pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,order_month,order_day_name,is_weekend,order_hour,time_of_day,price_band
36,15,big_meat_s,1,2015-01-01,13:33:00,12.0,12.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,January,Thursday,False,13,Lunch,Budget
37,15,five_cheese_l,1,2015-01-01,13:33:00,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,13,Lunch,Premium
38,15,soppressata_l,1,2015-01-01,13:33:00,20.75,20.75,L,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza,January,Thursday,False,13,Lunch,Premium
39,15,the_greek_s,1,2015-01-01,13:33:00,12.0,12.0,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,January,Thursday,False,13,Lunch,Budget
40,16,four_cheese_l,1,2015-01-01,13:34:07,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,January,Thursday,False,13,Lunch,Premium
41,16,napolitana_s,1,2015-01-01,13:34:07,12.0,12.0,S,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,January,Thursday,False,13,Lunch,Budget
42,16,thai_ckn_l,1,2015-01-01,13:34:07,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,13,Lunch,Premium
43,17,bbq_ckn_l,1,2015-01-01,13:53:00,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,13,Lunch,Premium
44,17,calabrese_m,1,2015-01-01,13:53:00,16.25,16.25,M,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza,January,Thursday,False,13,Lunch,Standard
45,17,five_cheese_l,1,2015-01-01,13:53:00,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,13,Lunch,Premium
46,17,four_cheese_m,1,2015-01-01,13:53:00,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,January,Thursday,False,13,Lunch,Standard
47,17,ital_supr_m,1,2015-01-01,13:53:00,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,13,Lunch,Standard
48,17,ital_veggie_s,1,2015-01-01,13:53:00,12.75,12.75,S,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza,January,Thursday,False,13,Lunch,Standard
49,17,mediterraneo_m,2,2015-01-01,13:53:00,16.0,32.0,M,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza,January,Thursday,False,13,Lunch,Standard
50,17,mexicana_l,1,2015-01-01,13:53:00,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,13,Lunch,Premium
51,17,peppr_salami_s,1,2015-01-01,13:53:00,12.5,12.5,S,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,January,Thursday,False,13,Lunch,Budget
52,17,spinach_fet_l,1,2015-01-01,13:53:00,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,January,Thursday,False,13,Lunch,Premium
53,18,napolitana_l,1,2015-01-01,13:57:08,20.5,20.5,L,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,January,Thursday,False,13,Lunch,Premium
54,19,ital_cpcllo_l,1,2015-01-01,13:59:09,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,13,Lunch,Premium
55,19,sicilian_l,1,2015-01-01,13:59:09,20.25,20.25,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,January,Thursday,False,13,Lunch,Premium
56,20,big_meat_s,1,2015-01-01,14:03:08,12.0,12.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,January,Thursday,False,14,Lunch,Budget
57,20,five_cheese_l,1,2015-01-01,14:03:08,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,14,Lunch,Premium
58,21,ital_cpcllo_l,1,2015-01-01,14:14:29,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,14,Lunch,Premium
59,22,five_cheese_l,1,2015-01-01,14:16:26,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,14,Lunch,Premium
60,22,ital_cpcllo_m,1,2015-01-01,14:16:26,16.0,16.0,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,14,Lunch,Standard
61,22,southw_ckn_l,1,2015-01-01,14:16:26,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,January,Thursday,False,14,Lunch,Premium
62,23,southw_ckn_s,1,2015-01-01,14:19:03,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,January,Thursday,False,14,Lunch,Standard
63,24,bbq_ckn_m,1,2015-01-01,14:23:01,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,14,Lunch,Standard
64,24,ital_cpcllo_m,1,2015-01-01,14:23:01,16.0,16.0,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,14,Lunch,Standard
65,24,pepperoni_m,1,2015-01-01,14:23:01,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,January,Thursday,False,14,Lunch,Budget
66,24,prsc_argla_s,1,2015-01-01,14:23:01,12.5,12.5,S,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,January,Thursday,False,14,Lunch,Budget
67,25,sicilian_m,1,2015-01-01,14:44:44,16.25,16.25,M,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,January,Thursday,False,14,Lunch,Standard
68,25,thai_ckn_l,1,2015-01-01,14:44:44,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,14,Lunch,Premium
69,26,classic_dlx_s,1,2015-01-01,14:54:26,12.0,12.0,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,14,Lunch,Budget
70,26,veggie_veg_l,1,2015-01-01,14:54:26,20.25,20.25,L,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,January,Thursday,False,14,Lunch,Premium
71,27,bbq_ckn_l,1,2015-01-01,15:11:17,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,15,Afternoon,Premium
72,27,classic_dlx_m,1,2015-01-01,15:11:17,16.0,16.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,15,Afternoon,Standard
73,27,spinach_fet_l,1,2015-01-01,15:11:17,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,January,Thursday,False,15,Afternoon,Premium
74,28,ckn_alfredo_s,1,2015-01-01,15:35:46,12.75,12.75,S,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,January,Thursday,False,15,Afternoon,Standard
75,29,green_garden_s,1,2015-01-01,15:41:01,12.0,12.0,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,15,Afternoon,Budget
76,30,thai_ckn_l,1,2015-01-01,15:41:25,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,15,Afternoon,Premium
77,31,mexicana_m,1,2015-01-01,15:50:18,16.0,16.0,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,15,Afternoon,Standard
78,31,pepperoni_s,1,2015-01-01,15:50:18,9.75,9.75,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,January,Thursday,False,15,Afternoon,Budget
79,32,big_meat_s,1,2015-01-01,15:53:18,12.0,12.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,January,Thursday,False,15,Afternoon,Budget
80,32,green_garden_l,1,2015-01-01,15:53:18,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,15,Afternoon,Premium
81,32,ital_cpcllo_l,1,2015-01-01,15:53:18,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,15,Afternoon,Premium
82,32,ital_supr_m,1,2015-01-01,15:53:18,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,15,Afternoon,Standard
83,33,bbq_ckn_l,1,2015-01-01,15:54:08,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,15,Afternoon,Premium
84,33,green_garden_s,1,2015-01-01,15:54:08,12.0,12.0,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,15,Afternoon,Budget
85,34,the_greek_s,1,2015-01-01,16:21:21,12.0,12.0,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,January,Thursday,False,16,Afternoon,Budget
86,35,green_garden_m,1,2015-01-01,16:32:04,16.0,16.0,M,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,16,Afternoon,Standard
87,35,pep_msh_pep_l,1,2015-01-01,16:32:04,17.5,17.5,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",January,Thursday,False,16,Afternoon,Standard
88,35,pepperoni_m,1,2015-01-01,16:32:04,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,January,Thursday,False,16,Afternoon,Budget
89,35,thai_ckn_l,1,2015-01-01,16:32:04,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,16,Afternoon,Premium
90,36,bbq_ckn_m,1,2015-01-01,16:54:09,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,January,Thursday,False,16,Afternoon,Standard
91,36,classic_dlx_m,1,2015-01-01,16:54:09,16.0,16.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,16,Afternoon,Standard
92,37,ital_supr_l,1,2015-01-01,16:56:09,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,16,Afternoon,Premium
93,37,mexicana_l,1,2015-01-01,16:56:09,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,16,Afternoon,Premium
94,38,hawaiian_s,1,2015-01-01,17:03:00,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,January,Thursday,False,17,Afternoon,Budget
95,38,ital_cpcllo_l,1,2015-01-01,17:03:00,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,January,Thursday,False,17,Afternoon,Premium
96,39,ital_supr_l,1,2015-01-01,17:07:23,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,17,Afternoon,Premium
97,40,four_cheese_l,1,2015-01-01,17:14:36,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,January,Thursday,False,17,Afternoon,Premium
98,40,southw_ckn_s,1,2015-01-01,17:14:36,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,January,Thursday,False,17,Afternoon,Standard
99,41,four_cheese_m,1,2015-01-01,17:15:20,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,January,Thursday,False,17,Afternoon,Standard
100,41,green_garden_s,1,2015-01-01,17:15:20,12.0,12.0,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,January,Thursday,False,17,Afternoon,Budget
101,42,big_meat_s,1,2015-01-01,17:28:09,12.0,12.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,January,Thursday,False,17,Afternoon,Budget
102,42,five_cheese_l,1,2015-01-01,17:28:09,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,January,Thursday,False,17,Afternoon,Premium
103,42,mexicana_l,1,2015-01-01,17:28:09,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,January,Thursday,False,17,Afternoon,Premium
104,42,peppr_salami_m,1,2015-01-01,17:28:09,16.5,16.5,M,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,January,Thursday,False,17,Afternoon,Standard
105,43,ckn_alfredo_m,1,2015-01-01,17:38:34,16.75,16.75,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,January,Thursday,False,17,Afternoon,Standard
106,43,ital_supr_m,1,2015-01-01,17:38:34,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,January,Thursday,False,17,Afternoon,Standard
107,43,peppr_salami_l,1,2015-01-01,17:38:34,20.75,20.75,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,January,Thursday,False,17,Afternoon,Premium
108,44,spin_pesto_s,1,2015-01-01,17:54:20,12.5,12.5,S,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,January,Thursday,False,17,Afternoon,Budget
109,45,four_cheese_l,1,2015-01-01,17:55:48,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,January,Thursday,False,17,Afternoon,Premium
110,45,hawaiian_s,1,2015-01-01,17:55:48,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,January,Thursday,False,17,Afternoon,Budget
111,45,thai_ckn_m,1,2015-01-01,17:55:48,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,17,Afternoon,Standard
112,46,ckn_pesto_l,1,2015-01-01,18:25:51,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,January,Thursday,False,18,Dinner,Premium
113,46,classic_dlx_l,1,2015-01-01,18:25:51,20.5,20.5,L,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,January,Thursday,False,18,Dinner,Premium
114,46,thai_ckn_m,1,2015-01-01,18:25:51,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,January,Thursday,False,18,Dinner,Standard
115,47,southw_ckn_l,1,2015-01-01,18:26:34,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,January,Thursday,False,18,Dinner,Premium
116,47,veggie_veg_s,1,2015-01-01,18:26:34,12.0,12.0,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,January,Thursday,False,18,Dinner,Budget
